"genome","completeness","contamination"
"3300066328_3.fna",83.64,6.84
"3300066328_36.fna",89.44,1.98
"3300066377_49.fna",85.09,2.44
"3300066377_3.fna",70.51,0
"3300066377_27.fna",94,1.09
"3300066377_23.fna",73.93,2.75
"3300066377_12.fna",80.21,1.77
"3300066377_41.fna",92.59,0.93
"3300066377_40.fna",97.41,1.24
"3300066377_20.fna",95.26,0.52
"3300066377_6.fna",74.56,4.56
"3300066377_26.fna",84.48,2.27
"3300066457_57.fna",96.76,1.08
"3300066457_24.fna",88.71,0.63
"3300066457_54.fna",96.52,1.74
"3300066457_64.fna",96.87,2.56
"3300066457_65.fna",99.91,0.44
"3300066457_31.fna",93.95,2.19
"3300066457_8.fna",94.39,4.91
"3300066457_60.fna",96.87,3.42
"3300066457_40.fna",71.61,1.86
"3300066457_61.fna",93.1,2.3
"3300066457_67.fna",91.67,0.93
"3300066457_76.fna",70.12,7.01
"3300066457_51.fna",100,2.85
"3300066457_66.fna",75.21,0
"3300066457_2.fna",79.84,5.87
"3300066457_53.fna",98.12,2.7
"3300066457_42.fna",76.59,3.42
"3300066457_69.fna",82.52,2.43
"3300066457_17.fna",97.38,2.56
"3300066457_18.fna",77.64,0.46
"3300066478_16.fna",80.08,5.25
"3300066478_28.fna",81.94,2.9
"3300066478_32.fna",92.94,4.52
"3300066478_66.fna",98.02,2.56
"3300066478_34.fna",75.71,2.96
"3300066478_38.fna",94.92,9.05
"3300066478_45.fna",85.71,2.75
"3300066478_37.fna",74.03,8.19
"3300066480_20.fna",85.2,5.29
"3300066480_7.fna",84.08,4.05
"3300066480_3.fna",87.21,6.92
"3300066480_12.fna",97.84,1.81
"3300066481_26.fna",83.61,0.86
"3300066481_29.fna",94.02,3.42
"3300066481_13.fna",85.91,4.44
"3300066482_9.fna",79.73,1.62
"3300066482_29.fna",84.95,5.49
"3300066482_12.fna",82.32,2.68
"3300066482_13.fna",78.77,7.77
"3300066482_22.fna",81.43,4.84
"3300066482_27.fna",95.69,0.86
"3300066484_25.fna",79.26,0.5
"3300066484_39.fna",92.04,7.39
"3300066484_1.fna",79.64,5.98
"3300066484_40.fna",84.78,3.8
"3300066484_37.fna",88.17,4.84
"3300066484_43.fna",76.2,2.9
"3300066484_51.fna",87.8,7.51
"3300066484_69.fna",81.8,1.09
"3300066484_5.fna",87.59,2.3
"3300066484_79.fna",79.21,4.7
"3300066485_3.fna",87.84,2.33
"3300066485_25.fna",72.86,4.7
"3300066485_32.fna",70.93,0.58
"3300066485_6.fna",81.21,1.28
"3300066485_68.fna",79.15,7.79
"3300066485_85.fna",84.62,3.42
"3300066485_51.fna",86.07,0.85
"3300066485_2.fna",76.42,4.9
"3300066485_96.fna",81.2,5.13
"3300066485_53.fna",81.07,1.15
"3300066485_48.fna",84.43,4.19
"3300066485_89.fna",71.64,7.12
"3300066485_58.fna",87.52,6.03
"3300066485_43.fna",77.09,0.36
"3300066485_72.fna",95,2.05
"3300066485_74.fna",73.15,0.85
"3300066485_41.fna",73.07,1.82
"3300066485_78.fna",85.66,1.92
"3300066485_4.fna",88.46,1.71
"3300066485_39.fna",80.29,3.3
"3300066486_41.fna",96.96,4.14
"3300066486_50.fna",79.54,1.1
"3300066486_70.fna",95.97,2.2
"3300066486_49.fna",74.43,0
"3300066486_44.fna",91.94,2.27
"3300066486_40.fna",81.14,4.27
"3300066486_57.fna",92.58,0.24
"3300066486_7.fna",94.56,0.52
"3300066486_71.fna",98.1,0.24
"3300066486_45.fna",99.24,0.32
"3300066486_37.fna",89.56,3.3
"3300066486_38.fna",100,1.4
"3300066486_68.fna",92.27,2.73
"3300066486_28.fna",93.35,0.62
"3300066486_60.fna",70.85,0
"3300066487_32.fna",80.53,5.35
"3300066487_106.fna",99.14,0
"3300066487_105.fna",74.75,0.99
"3300066487_59.fna",88.56,1.53
"3300066487_107.fna",80.55,1.3
"3300066487_2.fna",97.94,0.71
"3300066487_73.fna",86.37,4.7
"3300066487_75.fna",76.45,4.63
"3300066487_93.fna",70.51,1.35
"3300066487_68.fna",76.4,2.97
"3300066487_19.fna",81.78,0.73
"3300066487_28.fna",85.67,0
"3300066487_3.fna",97.85,0.18
"3300066487_21.fna",97.8,3.3
"3300066487_50.fna",97.71,0.63
"3300066487_51.fna",76.2,1.98
"3300066487_94.fna",92.67,1.72
"3300066487_118.fna",78.53,1.7
"3300066487_43.fna",93.43,5.19
"3300066487_48.fna",96.58,5.56
"3300066487_49.fna",84.62,4.4
"3300066487_90.fna",96.95,0
"3300066487_117.fna",80.94,6.78
"3300066487_88.fna",98.83,0.39
"3300066487_47.fna",82.61,0.24
"3300066488_2.fna",90.76,1.1
"3300066488_68.fna",98.35,4.53
"3300066488_8.fna",91.77,3.56
"3300066488_26.fna",95.86,8.01
"3300066488_44.fna",94.04,2.87
"3300066488_79.fna",87.81,2.58
"3300066488_92.fna",86.07,5.41
"3300066488_22.fna",81.57,5.73
"3300066488_5.fna",86.37,0.66
"3300066488_32.fna",74.82,5.29
"3300066488_34.fna",72.76,4.31
"3300066488_78.fna",91.4,0.96
"3300066488_49.fna",96.24,0.79
"3300066488_40.fna",84.06,5.39
"3300066488_54.fna",82.43,2.55
"3300066488_59.fna",96.59,1.14
"3300066488_42.fna",75.69,4.35
"3300066488_77.fna",94.02,7.12
"3300066489_30.fna",96.12,0.86
"3300066489_37.fna",85.37,1.94
"3300066489_34.fna",88.92,6.08
"3300066489_7.fna",99.53,2.06
"3300066489_29.fna",99.65,0.15
"3300066489_52.fna",88.54,0.6
"3300066489_39.fna",78.33,2.9
"3300066489_3.fna",71.91,3.2
"3300066489_55.fna",81.97,3.55
"3300066489_19.fna",100,1.4
"3300066489_42.fna",99.46,0
"3300066489_49.fna",82.6,2.23
"3300066489_9.fna",94.11,1.97
"3300066490_7.fna",81.71,1.1
"3300066490_72.fna",80.98,1.28
"3300066490_79.fna",71.04,3.87
"3300066490_58.fna",87.59,5.37
"3300066490_31.fna",88.46,6.48
"3300066490_69.fna",91.22,3.85
"3300066490_44.fna",81.52,5.51
"3300066490_9.fna",87.76,4.06
"3300066490_65.fna",83.26,3.85
"3300066490_17.fna",82.62,1.97
"3300066490_62.fna",95.73,7.12
"3300066490_61.fna",96.58,5.56
"3300066505_36.fna",82.69,3.71
"3300066505_5.fna",85.74,4.81
"3300066505_29.fna",78.37,0.43
"3300066505_37.fna",95.84,3.74
"3300066505_38.fna",88.53,5.39
"3300066505_11.fna",92.74,2.61
"3300066505_20.fna",73.26,1.16
"3300066506_56.fna",98.7,0.72
"3300066506_51.fna",88.4,4.27
"3300066506_58.fna",93.05,7.1
"3300066506_57.fna",91.45,1.71
"3300066506_10.fna",93.1,2.59
"3300066506_45.fna",78.04,2.07
"3300066506_66.fna",70.15,3.85
"3300066506_89.fna",97.41,1.72
"3300066506_61.fna",73.72,5.98
"3300066506_59.fna",96.12,1.01
"3300066506_30.fna",72.42,2.2
"3300066506_83.fna",96.06,9.4
"3300066506_68.fna",89.14,6.85
"3300066520_15.fna",97.05,6.84
"3300066520_53.fna",89.33,2.2
"3300066520_21.fna",76.86,5.49
"3300066520_44.fna",99.52,1.4
"3300066520_48.fna",76.61,0.19
"3300066520_20.fna",73.45,2.03
"3300066520_5.fna",76.16,5.53
"3300066520_69.fna",91.25,4.62
"3300066520_71.fna",91.07,1.11
"3300066520_94.fna",97.8,1.64
"3300066520_55.fna",97.35,4.68
"3300066520_40.fna",84.52,4.08
"3300066520_37.fna",80.8,1.49
"3300066520_49.fna",80.46,0
"3300066520_66.fna",99.31,1.23
"3300066520_79.fna",81.04,0
"3300066520_38.fna",76.28,0.68
"3300066520_57.fna",75.86,0
"3300066520_61.fna",89.5,0.19
"3300066520_82.fna",93.91,1.65
"3300066520_29.fna",85.58,7.12
"3300066520_88.fna",77.69,7.03
"3300066520_65.fna",81.81,2.46
"3300066520_91.fna",99.51,1.11
"3300066520_30.fna",77.59,1.72
"3300066521_32.fna",70.5,2.99
"3300066521_20.fna",70.69,1.72
"3300066521_1.fna",95.45,1.14
"3300066521_68.fna",76.73,2.9
"3300066521_73.fna",76.11,8.93
"3300066521_100.fna",97.1,0.65
"3300066521_44.fna",79.31,0
"3300066521_45.fna",90.17,5.13
"3300066521_57.fna",88.46,0.66
"3300066521_91.fna",71.72,8.62
"3300066521_92.fna",71.84,3.06
"3300066521_83.fna",97.1,6.15
"3300066521_90.fna",89.51,0.34
"3300066521_18.fna",72.32,4.27
"3300066521_59.fna",93.33,2.95
"3300066521_77.fna",86.08,4.68
"3300066521_8.fna",89.25,6.2
"3300066521_19.fna",95.26,0.86
"3300066521_2.fna",95.15,2.2
"3300066521_65.fna",89.32,8.19
"3300066521_61.fna",96.65,3.53
"3300066521_64.fna",71.2,5.44
"3300066521_13.fna",86.12,0.59
"3300066533_15.fna",85.36,2.58
"3300066533_30.fna",89.01,2.9
"3300066533_7.fna",98.29,4.37
"3300066533_42.fna",85.03,4.35
"3300066533_19.fna",95.37,1.34
"3300066533_34.fna",75.45,1.31
"3300066533_35.fna",93.3,9.15
"3300066538_17.fna",97.86,1.71
"3300066538_24.fna",95.69,1.72
"3300066538_58.fna",84.76,1.11
"3300066538_59.fna",80.74,3.85
"3300066538_13.fna",82.6,7.12
"3300066538_62.fna",97.07,0.94
"3300066538_65.fna",98.43,1.71
"3300066538_48.fna",97.01,3.42
"3300066538_20.fna",72.62,5.13
"3300066538_6.fna",91.98,2.18
"3300066538_8.fna",98.1,0.42
"3300066538_81.fna",97.41,2.59
"3300066538_64.fna",93.56,7.58
"3300066538_46.fna",82.48,4.56
"3300066538_35.fna",90.87,1.96
"3300066538_74.fna",98.29,1.71
"3300066538_38.fna",86.11,2.56
"3300066538_7.fna",99.15,2.56
"3300066540_13.fna",88.89,1.71
"3300066540_21.fna",88.68,1.15
"3300066540_50.fna",83.32,2.17
"3300066540_104.fna",75.29,3.45
"3300066540_2.fna",93.58,5.98
"3300066540_59.fna",88.81,2.38
"3300066540_49.fna",93.38,2.99
"3300066540_5.fna",97.13,3.72
"3300066540_18.fna",96.55,0.86
"3300066540_60.fna",84.62,0
"3300066540_54.fna",87.98,2.78
"3300066540_57.fna",73.58,0.86
"3300066540_48.fna",83.13,3.3
"3300066540_6.fna",96.91,0.93
"3300066540_93.fna",85.93,1.71
"3300066540_84.fna",90.58,4.89
"3300066540_47.fna",96.72,0.85
"3300066540_90.fna",96.14,0.7
"3300066540_42.fna",96.58,2.56
"3300066540_78.fna",79.54,1.1
"3300066540_63.fna",94.93,4.73
"3300066540_44.fna",86.56,4.27
"3300066540_74.fna",71.71,1.72
"3300066540_4.fna",92.47,2.6
"3300066540_72.fna",94.83,3.95
"3300066540_98.fna",75.91,3.25
"3300066540_97.fna",74.77,2.14
"3300066540_31.fna",94.3,4.13
"3300066541_6.fna",95.69,4.48
"3300066541_10.fna",97.97,3.38
"3300066541_13.fna",91.76,3.42
"3300066541_21.fna",85.82,0
"3300066541_18.fna",71.07,2.56
"3300066601_16.fna",85.48,3.3
"3300066601_10.fna",88.01,4.35
"3300066601_39.fna",71.79,6.5
"3300066601_20.fna",72.36,3.44
"3300066601_18.fna",96.66,3.39
"3300066602_19.fna",96.12,2.73
"3300066602_31.fna",84.55,7.62
"3300066602_32.fna",85.4,5.41
"3300066602_15.fna",90.79,0.88
"3300066602_16.fna",81.2,3.89
"3300066602_10.fna",90.45,0.86
"3300066602_14.fna",71.62,1.71
"3300066602_30.fna",94.31,1.72
"3300066602_27.fna",81.91,5.43
"3300066608_69.fna",88.28,5.56
"3300066608_50.fna",83.03,4.27
"3300066608_26.fna",82.96,1.15
"3300066608_76.fna",97.44,4.27
"3300066608_21.fna",82.91,5.84
"3300066608_27.fna",90.75,7.22
"3300066608_74.fna",89.08,6.49
"3300066608_82.fna",97.41,0
"3300066608_38.fna",97.69,0
"3300066608_102.fna",98.43,1.71
"3300066608_103.fna",96.55,0.86
"3300066608_67.fna",99.15,6.1
"3300066608_15.fna",87.23,2.56
"3300066608_52.fna",97.98,0.35
"3300066608_104.fna",85.2,5.39
"3300066608_13.fna",82.22,7.27
"3300066608_57.fna",77.38,2.42
"3300066608_91.fna",97.38,1.71
"3300066608_56.fna",96.55,1.72
"3300066608_90.fna",98.72,2.85
"3300066608_87.fna",98.39,0.47
"3300066613_20.fna",96.45,2.12
"3300066613_15.fna",78.19,2.26
"3300066613_19.fna",91.05,4.74
"3300066613_58.fna",86.59,2.56
"3300066613_25.fna",77.03,4.27
"3300066613_17.fna",75.42,3.13
"3300066613_53.fna",99.49,0
"3300066613_44.fna",71.17,5.46
"3300066613_57.fna",89.69,3.63
"3300066613_90.fna",72.57,4.14
"3300066613_9.fna",97.01,1.71
"3300066613_3.fna",72.12,3.91
"3300066613_34.fna",79.14,4.24
"3300066613_86.fna",82.22,0.93
"3300066614_61.fna",76.89,8.78
"3300066614_35.fna",89.75,1.96
"3300066614_79.fna",79.8,0.86
"3300066614_99.fna",92.85,6.01
"3300066614_13.fna",77.51,2.73
"3300066614_74.fna",77.52,0.73
"3300066614_59.fna",89.98,5.41
"3300066614_8.fna",78.63,5.98
"3300066614_66.fna",81.55,3.56
"3300066614_80.fna",93.27,3.04
"3300066614_36.fna",95.51,8.47
"3300066614_5.fna",81.03,5.17
"3300066614_64.fna",91.08,4.36
"3300066614_85.fna",80.61,4.4
"3300066614_51.fna",73.59,1.76
"3300066659_82.fna",90.74,4.73
"3300066659_141.fna",77.69,0.08
"3300066659_155.fna",94.32,1.72
"3300066659_31.fna",77.76,1.72
"3300066659_120.fna",80.44,0.85
"3300066659_139.fna",77.78,0
"3300066659_32.fna",76.24,1.98
"3300066659_147.fna",95,2.33
"3300066659_46.fna",82.43,1.32
"3300066659_111.fna",92.27,0.86
"3300066659_78.fna",92.09,3.6
"3300066659_104.fna",96.29,1.98
"3300066659_47.fna",96.15,1.71
"3300066659_117.fna",80.23,1.56
"3300066659_91.fna",79.94,0.93
"3300066659_134.fna",81.68,4.95
"3300066659_96.fna",94.02,0.85
"3300066659_61.fna",92.14,7.56
"3300066659_36.fna",96.42,2.71
"3300066659_38.fna",96.61,2.34
"3300066659_89.fna",84.88,2.56
"3300066659_90.fna",100,2.74
"3300066659_122.fna",97.15,1.71
"3300066659_124.fna",92.68,4.39
"3300066659_126.fna",99.13,0
"3300066659_128.fna",96.61,0.47
"3300066659_129.fna",75.15,0
"3300066659_29.fna",76.56,4.28
"3300066659_5.fna",76.21,3.68
"3300066659_50.fna",95.53,1.58
"3300066659_71.fna",96.3,1.85
"3300066659_55.fna",96.09,9.34
"3300066659_57.fna",100,2.85
"3300066659_92.fna",77.9,3.45
"3300066659_95.fna",80.57,7.41
"3300066659_21.fna",98.71,2.59
"3300066659_156.fna",77.16,7.69
"3300066660_29.fna",90.53,6.53
"3300066660_20.fna",86.7,2.07
"3300066660_19.fna",70.5,3.85
"3300066660_3.fna",81.03,6.9
"3300066756_3.fna",84.77,0.08
"3300066756_7.fna",95.61,2.37
"3300066756_5.fna",77.95,0
"3300066757_7.fna",99.63,0
"3300066757_9.fna",95,0.63
"3300066757_4.fna",100,4.11
"3300066757_2.fna",98.52,1.27
"3300066757_10.fna",98.53,0.08
"3300066758_6.fna",99.3,0.7
"3300066758_2.fna",95.35,0.32
"3300066758_5.fna",98.18,0.63
"3300066758_3.fna",96.4,0
"3300066758_1.fna",88.98,1.9
"3300066759_2.fna",99.63,1.01
"3300066759_1.fna",96.19,0.41
"3300066811_4.fna",97.8,0
"3300066812_2.fna",97.8,0
"3300066814_17.fna",91.08,4.08
"3300066814_11.fna",98.66,0.89
"3300066814_1.fna",73.1,4.43
"3300066814_5.fna",81.21,2.01
"3300066814_14.fna",76.58,0.21
"3300066815_6.fna",97.61,0.89
"3300066815_9.fna",89.77,4.22
"3300066815_4.fna",98.66,2.68
"3300066815_5.fna",98.17,5.22
"3300066815_1.fna",93.04,3.06
"3300066815_2.fna",98.03,0
"3300066817_2.fna",100,4.11
"3300066817_5.fna",84.94,2.87
"3300066818_5.fna",97.2,2.11
"3300066818_6.fna",99.37,1.27
"3300066818_2.fna",98.25,1.75
"3300066818_8.fna",97.79,1.61
"3300066819_8.fna",77.95,0
"3300066819_9.fna",98.56,0.95
"3300066819_4.fna",93.55,1.9
"3300066819_6.fna",99.3,1.4
"3300066819_2.fna",71.9,1.72
"3300067033_91.fna",96.96,0.67
"3300067033_35.fna",73.41,0.89
"3300067033_114.fna",72.88,3.13
"3300067033_42.fna",73.9,1.14
"3300067033_16.fna",94.65,2.22
"3300067033_37.fna",94.07,3.72
"3300067033_101.fna",92.04,0.95
"3300067033_109.fna",85.47,0.97
"3300067033_28.fna",92.32,5.56
"3300067033_13.fna",93.31,0.97
"3300067033_14.fna",95.61,0.19
"3300067033_89.fna",84.59,2.45
"3300067033_29.fna",98.82,1.19
"3300067033_3.fna",80.82,0.86
"3300067033_45.fna",79.94,7.77
"3300067033_92.fna",82.34,1.71
"3300067033_83.fna",74.31,0
"3300067033_77.fna",94.79,0.85
"3300067033_25.fna",86.11,4.55
"3300067033_5.fna",71.72,3.45
"3300067033_17.fna",86.59,0.19
"3300067033_106.fna",74,0.15
"3300067033_20.fna",73.76,0.99
"3300067033_23.fna",79.31,1.72
"3300067033_67.fna",72.59,1.96
"3300067033_22.fna",75.81,3.59
"3300067093_37.fna",75.94,3.93
"3300067093_27.fna",70.94,2.07
"3300067093_50.fna",87.95,2.99
"3300067093_5.fna",92.59,1.72
"3300067093_25.fna",91.4,3.71
"3300067093_1.fna",81.7,6.61
"3300067093_2.fna",79.19,6.27
"3300067093_61.fna",75.83,0
"3300067331_3.fna",98,0.53
"3300067331_4.fna",94.78,0.18
"3300067331_2.fna",74.14,0
"3300067403_7.fna",95.56,0.03
"3300067403_10.fna",98.21,0.32
"3300067403_11.fna",80.7,0
"3300067404_1.fna",100,0.32
"3300067405_2.fna",99.37,1.9
"3300067405_4.fna",99.86,0.61
"3300067405_1.fna",100,0.32
"3300067406_10.fna",70.44,0.16
"3300067406_3.fna",91.06,1.1
"3300067406_5.fna",100,0.32
"3300067406_4.fna",99.37,1.9
"3300067407_3.fna",99.17,2.3
"3300067407_1.fna",99.86,0.61
"3300067408_7.fna",98.01,0.25
"3300067408_3.fna",97.47,2.53
"3300067408_4.fna",89.09,0.29
"3300067409_2.fna",93.41,0
"3300067409_3.fna",99.21,0.53
"3300067409_7.fna",72.57,0
"3300067409_8.fna",90.62,0.89
"3300067410_4.fna",96.88,0.89
"3300067410_2.fna",99.64,0.53
"3300067410_1.fna",98.15,0.03
"3300067411_2.fna",100,0.32
"3300067411_3.fna",100,1.9
"3300067413_4.fna",77.59,3.45
"3300067413_7.fna",98.2,1.9
"3300067413_15.fna",93.07,0
"3300067413_9.fna",98.58,0.36
"3300067413_13.fna",72.41,0
"3300067413_10.fna",98.07,0.89
"3300067415_2.fna",94.41,3.85
"3300067415_4.fna",96.91,2.53
"3300067415_9.fna",79.31,0
"3300067415_3.fna",75,0
"3300067512_44.fna",84.65,0.93
"3300067512_32.fna",74.46,6.84
"3300067512_57.fna",75.53,0.31
"3300067512_31.fna",95.87,3.42
"3300067512_9.fna",73.58,1.65
"3300067512_23.fna",75.73,4.75
"3300067512_11.fna",79.9,8.29
"3300067513_65.fna",75.5,4.64
"3300067513_78.fna",82.85,0.97
"3300067513_62.fna",99.15,1.99
"3300067513_18.fna",80.4,0.86
"3300067513_50.fna",85.43,0
"3300067513_61.fna",89.81,0.93
"3300067513_56.fna",70.41,9.33
"3300067513_20.fna",80.35,5.59
"3300067931_4.fna",87.81,3.56
"3300067931_5.fna",99.91,1.9
"3300067932_3.fna",92.66,1.35
"3300067932_6.fna",97.38,4.43
"3300067933_1.fna",96.88,0.89
"3300067933_3.fna",98.53,0.53
"3300067933_2.fna",98.84,0.45
"3300067934_4.fna",98.05,0.45
"3300067935_6.fna",97.58,0.71
"3300067935_4.fna",99.49,0.03
"3300067935_2.fna",97.9,0.12
"3300067935_3.fna",72.08,0
"3300067936_4.fna",71.28,0
"3300067936_5.fna",98.84,0
"3300067936_3.fna",98.52,0.03
"3300067937_1.fna",70.18,0
"3300067938_4.fna",77.22,0.95
"3300067938_3.fna",96.88,0.45
"3300067939_3.fna",99.99,0.25
"3300067939_2.fna",93.1,1.97
"3300067939_1.fna",98.21,0.32
"3300067939_4.fna",100,1.58
"3300067941_9.fna",77.12,0.86
"3300067941_3.fna",96.88,0.89
"3300067942_5.fna",99.37,1.9
"3300067943_3.fna",98.53,0.61
"3300067943_7.fna",83.26,1.61
"3300067945_4.fna",77.95,0
"3300067945_3.fna",97.04,0.08
"3300067946_8.fna",82.42,0
"3300067946_2.fna",92.33,0
"3300067947_15.fna",93.71,0.7
"3300067949_5.fna",97.6,0.82
"3300067949_1.fna",94.31,1.27
"3300067949_4.fna",96.79,0
"3300067949_2.fna",96.88,0.89
"3300067949_3.fna",88.08,3.8
"3300067981_7.fna",97.38,1.9
"3300067981_1.fna",81.03,0
"3300067982_13.fna",97.53,0.45
"3300067982_12.fna",71.43,0.45
"3300067983_2.fna",92.07,0
"3300067983_9.fna",86.73,1.22
"3300067983_3.fna",82.06,0.49
"3300067984_5.fna",98.08,0.11
"3300068043_6.fna",75.57,1.99
"3300068043_3.fna",96.88,0.45
"3300068044_3.fna",99.2,0.12
"3300068044_2.fna",87.88,0.26
"3300068044_1.fna",98.05,0.45
"3300068045_8.fna",97,0.56
"3300068045_7.fna",100,4.11
"3300068045_4.fna",88.37,0.7
"3300068045_3.fna",70.86,3.02
"3300068481_4.fna",93.71,0.7
"3300068481_9.fna",91.21,0
"3300068482_2.fna",92.37,0
"3300068482_5.fna",96.88,0
"3300068877_6.fna",97.36,0.86
"3300069309_23.fna",99.52,0.63
"3300069309_22.fna",98.81,1.64
"3300069309_47.fna",72.05,0.85
"3300069309_18.fna",95.1,1.48
"3300069309_46.fna",96.38,1.35
"3300069309_31.fna",98.68,0.49
"3300069309_17.fna",94.68,3.9
"3300069309_67.fna",81.25,1.18
"3300069309_32.fna",97.46,0.49
"3300069309_11.fna",99.51,0.49
"3300069309_66.fna",99.55,0.69
"3300069309_39.fna",85.81,2.22
"3300069309_69.fna",71.02,0
"3300069309_72.fna",98.1,2.38
"3300069309_8.fna",97.53,0.97
"3300069309_43.fna",97.9,1.2
"3300069309_61.fna",96.73,0.56
"3300069309_62.fna",98.58,0
"3300069309_36.fna",93.74,0.2
"3300069309_9.fna",95.84,1.22
"3300069309_33.fna",96.58,0.68
"3300069309_34.fna",78.42,1.75
"3300069309_4.fna",80.62,1.23
"3300069309_57.fna",97.04,0.96
"3300069309_59.fna",88.86,0.93
"3300069309_55.fna",99.51,0.99
"3300072117_22.fna",85.48,0
"3300072117_13.fna",95.2,2.32
"3300072117_32.fna",70.18,2.59
"3300072117_23.fna",89.24,3.94
"3300072117_42.fna",96.58,2.14
"3300072117_38.fna",98.02,0.78
"3300072117_16.fna",81.45,1.6
"3300072117_30.fna",85.47,0
"3300072117_35.fna",92.41,2.59
"3300072117_3.fna",98.48,1.75
"3300072117_6.fna",92.62,3.67
"3300072117_9.fna",78.95,3.7
"3300072117_29.fna",85.49,1.72
"3300072118_40.fna",92.31,4.4
"3300072118_3.fna",98.24,1.71
"3300072118_33.fna",92.73,1.82
"3300072118_36.fna",77.66,1.72
"3300072118_17.fna",82.71,4.55
"3300072118_41.fna",92.73,1.16
"3300072118_8.fna",96.15,2.74
"3300072118_12.fna",93.4,2.32
"3300072118_13.fna",98.96,1.3
"3300072118_14.fna",99.48,1.74
"3300072118_15.fna",71.24,0.93
"3300072118_9.fna",96.55,0.65
"3300072118_18.fna",88.28,0.99
"3300072118_21.fna",99.57,0.43
"3300072118_22.fna",88.3,0.9
"3300072118_27.fna",99.06,0.71
"3300072118_24.fna",73.76,0.99
"3300072118_25.fna",86.75,0.51
"3300072118_26.fna",78.28,2.91
"3300072118_29.fna",94.44,1.85
"3300072118_23.fna",98.03,0
"3300072119_8.fna",96.7,1.77
"3300072119_12.fna",90.46,1.14
"3300072119_6.fna",80.48,0.37
"3300072119_5.fna",89.31,2.83
"3300072120_5.fna",90.4,2.54
"3300072120_3.fna",90.22,1.88
"3300072121_13.fna",95.33,1.44
"3300072121_35.fna",96.61,3.22
"3300072121_38.fna",74.19,0.43
"3300072121_15.fna",72.13,9.87
"3300072121_16.fna",99.06,1.26
"3300072121_26.fna",73.27,0
"3300072121_27.fna",90.07,3.36
"3300072121_14.fna",97.44,5.13
"3300072121_31.fna",98.64,0.91
"3300072121_21.fna",98.76,0.65
"3300072121_39.fna",72.26,2.56
"3300072121_4.fna",71.08,3.59
"3300072121_17.fna",98.03,0.99
"3300072121_23.fna",86.32,1.71
"3300072121_24.fna",97.48,1.52
"3300072121_11.fna",96.7,1.89
"3300072121_6.fna",92.14,2.25
"3300072121_3.fna",99.75,1.15
"3300072123_28.fna",94.55,1.92
"3300072123_17.fna",98.06,0.97
"3300072123_18.fna",99.69,1.89
"3300072123_19.fna",90.91,0
"3300072123_34.fna",96.93,2
"3300072123_25.fna",97.73,1.48
"3300072123_39.fna",88.74,1.1
"3300072123_30.fna",94.11,4.39
"3300072123_14.fna",83.09,1.04
"3300072123_38.fna",94.07,4.17
"3300072123_21.fna",95,0.65
"3300072123_23.fna",94.25,2.46
"3300072123_35.fna",84.71,3.66
"3300072123_36.fna",99.78,2.26
"3300072123_37.fna",98.14,0
"3300072124_3.fna",77.78,0.85
"3300072124_1.fna",97.2,0.88
"3300072124_2.fna",70.13,5.08
"3300072176_43.fna",98.07,0.48
"3300072176_1.fna",70.64,2.42
"3300072176_3.fna",89.86,0.47
"3300072176_35.fna",98.59,1.74
"3300072176_9.fna",97.83,1.09
"3300072176_40.fna",95.2,2.08
"3300072176_19.fna",95.97,4.42
"3300072176_46.fna",85.47,2.14
"3300072176_47.fna",83.33,5.17
"3300072176_16.fna",77.65,5.13
"3300072176_49.fna",95,0.87
"3300072176_2.fna",96.84,0.17
"3300072176_28.fna",88.36,3.14
"3300072176_8.fna",97.88,2.73
"3300072176_50.fna",82.03,0
"3300072176_37.fna",96.42,1.73
"3300072176_51.fna",94.43,6.5
"3300072176_6.fna",80,0.94
"3300072176_22.fna",85.04,3.59
"3300072177_26.fna",80.34,1.71
"3300072177_11.fna",97.37,2.36
"3300072177_5.fna",99.75,1.15
"3300072177_9.fna",93.55,2.56
"3300072177_12.fna",76.34,1.36
"3300072177_13.fna",95.73,7.69
"3300072177_15.fna",90.6,0.55
"3300072623_1.fna",94.55,1.4
"3300072627_4.fna",93.33,0.55
"3300072628_1.fna",87.85,1.09
"3300072629_2.fna",96.58,6.15
"3300072636_10.fna",90.01,1.35
"3300072636_14.fna",76.97,2.56
"3300072636_25.fna",100,0.43
"3300072636_50.fna",82.76,3.24
"3300072636_1.fna",85.15,1.32
"3300072636_32.fna",80.19,0.37
"3300072636_36.fna",73.93,0.5
"3300072636_18.fna",78.74,0
"3300072636_4.fna",89.25,0.93
"3300072636_48.fna",83.7,0.69
"3300072636_8.fna",84.15,3.2
"3300072636_51.fna",93.75,1.24
"3300072636_53.fna",92.27,0.8
"3300072636_54.fna",95.63,0.55
"3300072636_59.fna",93.89,0.48
"3300072636_6.fna",98.65,3.51
"3300072636_61.fna",96.48,0
"3300072636_7.fna",96.64,1.31
"3300072657_1.fna",88.48,0.68
"3300072657_15.fna",71.23,0.84
"3300072657_43.fna",89.62,1.15
"3300072657_19.fna",97.48,0
"3300072657_20.fna",88.55,0
"3300072657_21.fna",97.53,0.54
"3300072657_22.fna",86.07,1.85
"3300072657_23.fna",79.31,2.59
"3300072657_26.fna",99.15,0.43
"3300072657_39.fna",78.38,3.52
"3300072657_32.fna",77.84,0.22
"3300072657_48.fna",98.71,1.81
"3300072657_49.fna",75.17,1.72
